,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,rsctc2010_3,169.43m,AutoFeat,AutoSK,0.8717948717948718,0.875,"(95, 22377)"
0,dbworld-bodies,13.05m,AutoFeat,AutoSK,0.9377450980392157,0.9375,"(64, 4702)"
0,anthracyclineTaxaneChemotherapy,96.93m,AutoFeat,AutoSK,0.42682539682539683,0.425,"(159, 61360)"
0,lymphoma_2classes,16.5m,AutoFeat,AutoSK,0.5745920745920746,0.5833333333333334,"(45, 4038)"
0,sonar,10.38m,AutoFeat,AutoSK,0.7856728958423874,0.7884615384615384,"(208, 65)"
0,gina,40.85m,AutoFeat,AutoSK,0.9429850471344934,0.9429657794676806,"(3153, 970)"
0,vehicle_sensIT,39.87m,AutoFeat,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
0,eating,460.75m,AutoFeat,AutoSK,0.573025422246576,0.5822784810126582,"(945, 6377)"
0,yeast_ml8,24.07m,AutoFeat,AutoSK,0.9826782904996463,0.9884297520661157,"(2417, 119)"
0,dbworld-bodies-stemmed,12.1m,AutoFeat,AutoSK,0.8750000000000001,0.875,"(64, 3721)"
0,Christine,208.37m,AutoFeat,AutoSK,0.747568971446433,0.7476014760147601,"(5418, 1661)"
0,hiva_agnostic,98.63m,AutoFeat,AutoSK,0.9522115263714662,0.9631379962192816,"(4229, 1617)"
0,GCM,674.85m,AutoFeat,AutoSK,0.7156352419510315,0.7291666666666666,"(190, 16063)"
0,arcene,42.23m,AutoFeat,AutoSK,0.7813333333333334,0.78,"(200, 10002)"
0,AP_Omentum_Ovary,85.8m,AutoFeat,AutoSK,0.8109105824446268,0.8260869565217391,"(275, 10944)"
0,madelon,20.03m,AutoFeat,AutoSK,0.7573834131962894,0.7584615384615384,"(2600, 500)"
0,micro-mass,109.77m,AutoFeat,AutoSK,0.8615761446210255,0.8671328671328671,"(571, 1329)"
0,airlines,51.38m,AutoFeat,AutoSK,0.3957255077101513,0.5546178603740564,"(539383, 7)"
0,OVA_Breast,468.22m,AutoFeat,AutoSK,0.9791623947336788,0.979328165374677,"(1545, 10972)"
0,ailerons,30.78m,AutoFeat,AutoSK,0.884530680096164,0.8845258871436882,"(13750, 46)"
