,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,yeast_ml8,60.08m,AutoFeat,AutoSK,0.9826782904996463,0.9884297520661157,"(2417, 8)"
1,yeast_ml8,60.08m,None,AutoSK,0.9826782904996463,0.9884297520661157,"(2417, 116)"
2,yeast_ml8,60.08m,AutoSK,AutoSK,0.9826782904996463,0.9884297520661157,"(2417, 116)"
3,yeast_ml8,60.08m,AutoFeat,TPOT,0.9868664658565334,0.9884297520661157,"(2417, 8)"
4,yeast_ml8,60.08m,None,TPOT,0.9826782904996463,0.9884297520661157,"(2417, 116)"
5,yeast_ml8,60.08m,TPOT,TPOT,0.9826782904996463,0.9884297520661157,"(2417, 116)"
0,arcene,64.27m,AutoFeat,AutoSK,0.960194805194805,0.96,"(200, 18)"
1,arcene,64.27m,None,AutoSK,0.8009740259740261,0.8,"(200, 10000)"
2,arcene,64.27m,AutoSK,AutoSK,0.7008567931456549,0.7,"(200, 10000)"
3,arcene,64.27m,AutoFeat,TPOT,0.9391677175283732,0.94,"(200, 18)"
4,arcene,64.27m,None,TPOT,0.9203896103896103,0.92,"(200, 10000)"
5,arcene,64.27m,TPOT,TPOT,0.9203896103896103,0.92,"(200, 10000)"
0,nomao,60.42m,AutoFeat,AutoSK,0.96859091454869,0.9686665893002205,"(34465, 32)"
1,nomao,60.42m,None,AutoSK,0.9676644334594556,0.967738191946153,"(34465, 118)"
2,nomao,60.42m,AutoSK,AutoSK,0.9666283022864599,0.966693744922827,"(34465, 118)"
3,nomao,60.42m,AutoFeat,TPOT,0.9665397569722061,0.9665776952535685,"(34465, 32)"
4,nomao,60.42m,None,TPOT,0.9696862536463549,0.9697110363235465,"(34465, 118)"
5,nomao,60.42m,TPOT,TPOT,0.9677097534340785,0.967738191946153,"(34465, 118)"
0,eeg_eye_state,60.02m,AutoFeat,AutoSK,0.39790513845761294,0.5564753004005341,"(14980, 1)"
1,eeg_eye_state,60.02m,None,AutoSK,0.9221113372882495,0.9222963951935914,"(14980, 14)"
2,eeg_eye_state,60.02m,AutoSK,AutoSK,0.9441234936853832,0.944192256341789,"(14980, 14)"
3,eeg_eye_state,60.02m,AutoFeat,TPOT,0.510306159406309,0.564218958611482,"(14980, 1)"
4,eeg_eye_state,60.02m,None,TPOT,0.9767654337722438,0.9767690253671563,"(14980, 14)"
5,eeg_eye_state,60.02m,TPOT,TPOT,0.9754397994584911,0.97543391188251,"(14980, 14)"
0,madelon,60.58m,AutoFeat,AutoSK,0.6321188201526513,0.6323076923076923,"(2600, 13)"
1,madelon,60.58m,None,AutoSK,0.7575811004408046,0.7584615384615384,"(2600, 500)"
2,madelon,60.58m,AutoSK,AutoSK,0.8179658750062899,0.8184615384615385,"(2600, 500)"
3,madelon,60.58m,AutoFeat,TPOT,0.6240464099139179,0.6246153846153846,"(2600, 13)"
4,madelon,60.58m,None,TPOT,0.8522181894462665,0.8523076923076923,"(2600, 500)"
5,madelon,60.58m,TPOT,TPOT,0.8569146108129158,0.8569230769230769,"(2600, 500)"
0,anthracyclineTaxaneChemotherapy,74.15m,AutoFeat,AutoSK,0.676031746031746,0.675,"(159, 5)"
1,anthracyclineTaxaneChemotherapy,74.15m,None,AutoSK,0.42682539682539683,0.425,"(159, 61359)"
2,anthracyclineTaxaneChemotherapy,74.15m,AutoSK,AutoSK,0.4416142557651992,0.475,"(159, 61359)"
3,anthracyclineTaxaneChemotherapy,74.15m,AutoFeat,TPOT,0.7015151515151515,0.7,"(159, 5)"
4,anthracyclineTaxaneChemotherapy,74.15m,None,TPOT,0.42240490006447445,0.425,"(159, 61359)"
5,anthracyclineTaxaneChemotherapy,74.15m,TPOT,TPOT,0.5,0.5,"(159, 61359)"
0,OVA_Breast,79.3m,AutoFeat,AutoSK,0.9818043046661504,0.9819121447028424,"(1545, 64)"
1,OVA_Breast,79.3m,None,AutoSK,0.9715207169005057,0.9715762273901809,"(1545, 10936)"
2,OVA_Breast,79.3m,AutoSK,AutoSK,0.9765090211260185,0.9767441860465116,"(1545, 10936)"
3,OVA_Breast,79.3m,AutoFeat,TPOT,0.9659242929570937,0.9664082687338501,"(1545, 64)"
4,OVA_Breast,79.3m,None,TPOT,0.9684771691261685,0.9689922480620154,"(1545, 10936)"
5,OVA_Breast,79.3m,TPOT,TPOT,0.9711667094252331,0.9715762273901809,"(1545, 10936)"
0,gina,61.05m,AutoFeat,AutoSK,0.922699636803747,0.9226869455006337,"(3153, 87)"
1,gina,61.05m,None,AutoSK,0.9265112247518835,0.926489226869455,"(3153, 970)"
2,gina,61.05m,AutoSK,AutoSK,0.9366421047288449,0.9366286438529785,"(3153, 970)"
3,gina,61.05m,AutoFeat,TPOT,0.9543380524761808,0.9543726235741445,"(3153, 87)"
4,gina,61.05m,None,TPOT,0.9505870408498942,0.9505703422053232,"(3153, 970)"
5,gina,61.05m,TPOT,TPOT,0.9493307831597935,0.9493029150823827,"(3153, 970)"
0,hiva_agnostic,60.33m,AutoFeat,AutoSK,0.9422543102466577,0.9612476370510397,"(4229, 35)"
1,hiva_agnostic,60.33m,None,AutoSK,0.9522115263714662,0.9631379962192816,"(4229, 1617)"
2,hiva_agnostic,60.33m,AutoSK,AutoSK,0.9575714447220903,0.9650283553875236,"(4229, 1617)"
3,hiva_agnostic,60.33m,AutoFeat,TPOT,0.9568615362745804,0.9640831758034026,"(4229, 35)"
4,hiva_agnostic,60.33m,None,TPOT,0.9553485818646299,0.9659735349716446,"(4229, 1617)"
