,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,gina,11.02m,AutoFeat,AutoSK,0.9125618842534187,0.9125475285171103,"(3153, 47)"
1,gina,11.02m,None,AutoSK,0.9252340749413291,0.9252217997465145,"(3153, 970)"
2,gina,11.02m,AutoSK,AutoSK,0.9341012151091571,0.9340937896070975,"(3153, 970)"
3,gina,11.02m,AutoFeat,TPOT,0.9353572618681381,0.935361216730038,"(3153, 47)"
4,gina,11.02m,None,TPOT,0.9556550366601614,0.9556400506970849,"(3153, 970)"
5,gina,11.02m,TPOT,TPOT,0.9417264768129738,0.9416983523447402,"(3153, 970)"
0,nomao,10.48m,AutoFeat,AutoSK,0.9686150537892729,0.9686665893002205,"(34465, 35)"
1,nomao,10.48m,None,AutoSK,0.9676644334594556,0.967738191946153,"(34465, 118)"
2,nomao,10.48m,AutoSK,AutoSK,0.9666111564178032,0.966693744922827,"(34465, 118)"
3,nomao,10.48m,AutoFeat,TPOT,0.9609630498009072,0.9610073111291633,"(34465, 35)"
4,nomao,10.48m,None,TPOT,0.9655795986015436,0.9656492978995009,"(34465, 118)"
5,nomao,10.48m,TPOT,TPOT,0.9660750313745979,0.9661134965765348,"(34465, 118)"
0,Christine,11.28m,AutoFeat,AutoSK,0.7542885733696514,0.7542435424354244,"(5418, 54)"
1,Christine,11.28m,None,AutoSK,0.7371307811056337,0.7372693726937269,"(5418, 1636)"
2,Christine,11.28m,AutoSK,AutoSK,0.745191892193397,0.7453874538745388,"(5418, 1636)"
3,Christine,11.28m,AutoFeat,TPOT,0.7454487109694278,0.7468634686346863,"(5418, 54)"
4,Christine,11.28m,None,TPOT,0.7410178873072365,0.7409594095940959,"(5418, 1636)"
5,Christine,11.28m,TPOT,TPOT,0.6882215164093451,0.6885608856088561,"(5418, 1636)"
0,ailerons,10.1m,AutoFeat,AutoSK,0.8723823803567149,0.8726003490401396,"(13750, 14)"
1,ailerons,10.1m,None,AutoSK,0.8747514067364338,0.87521815008726,"(13750, 40)"
2,ailerons,10.1m,AutoSK,AutoSK,0.8697663903543396,0.8699825479930192,"(13750, 40)"
3,ailerons,10.1m,AutoFeat,TPOT,0.8809268456429485,0.8810354857475277,"(13750, 14)"
4,ailerons,10.1m,None,TPOT,0.8823771642712485,0.8824898196625945,"(13750, 40)"
5,ailerons,10.1m,TPOT,TPOT,0.882795219516941,0.8827806864456079,"(13750, 40)"
0,GCM,19.85m,AutoFeat,AutoSK,0.5376313025210085,0.5625,"(190, 24)"
1,GCM,19.85m,None,AutoSK,0.7156352419510315,0.7291666666666666,"(190, 16063)"
2,GCM,19.85m,AutoSK,AutoSK,0.7572420634920635,0.7708333333333334,"(190, 16063)"
3,GCM,19.85m,AutoFeat,TPOT,0.4948033380018675,0.5,"(190, 24)"
4,GCM,19.85m,None,TPOT,0.8052579365079365,0.8125,"(190, 16063)"
5,GCM,19.85m,TPOT,TPOT,0.43253968253968256,0.5,"(190, 16063)"
0,lymphoma_2classes,11.0m,AutoFeat,AutoSK,1.0,1.0,"(45, 19)"
1,lymphoma_2classes,11.0m,None,AutoSK,0.5745920745920746,0.5833333333333334,"(45, 4026)"
2,lymphoma_2classes,11.0m,AutoSK,AutoSK,0.7517482517482517,0.75,"(45, 4026)"
3,lymphoma_2classes,11.0m,AutoFeat,TPOT,1.0,1.0,"(45, 19)"
4,lymphoma_2classes,11.0m,None,TPOT,0.6666666666666666,0.6666666666666666,"(45, 4026)"
5,lymphoma_2classes,11.0m,TPOT,TPOT,0.6666666666666666,0.6666666666666666,"(45, 4026)"
0,dbworld-bodies-stemmed,10.83m,AutoFeat,AutoSK,0.936740890688259,0.9375,"(64, 2)"
1,dbworld-bodies-stemmed,10.83m,None,AutoSK,0.8750000000000001,0.875,"(64, 3721)"
2,dbworld-bodies-stemmed,10.83m,AutoSK,AutoSK,0.8132352941176471,0.8125,"(64, 3721)"
3,dbworld-bodies-stemmed,10.83m,AutoFeat,TPOT,0.936740890688259,0.9375,"(64, 2)"
4,dbworld-bodies-stemmed,10.83m,None,TPOT,0.936740890688259,0.9375,"(64, 3721)"
5,dbworld-bodies-stemmed,10.83m,TPOT,TPOT,0.936740890688259,0.9375,"(64, 3721)"
0,dbworld-bodies,10.98m,AutoFeat,AutoSK,0.936740890688259,0.9375,"(64, 8)"
1,dbworld-bodies,10.98m,None,AutoSK,0.9377450980392157,0.9375,"(64, 4702)"
2,dbworld-bodies,10.98m,AutoSK,AutoSK,0.936740890688259,0.9375,"(64, 4702)"
3,dbworld-bodies,10.98m,AutoFeat,TPOT,1.0,1.0,"(64, 8)"
4,dbworld-bodies,10.98m,None,TPOT,0.875,0.875,"(64, 4702)"
5,dbworld-bodies,10.98m,TPOT,TPOT,0.6838235294117647,0.6875,"(64, 4702)"
0,AP_Omentum_Ovary,14.05m,AutoFeat,AutoSK,0.9078792051937832,0.9130434782608695,"(275, 26)"
