,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
0,rsctc2010_3,78.4m,AutoFeat,AutoSK,0.07183908045977012,0.20833333333333334,"(95, 9)"
1,rsctc2010_3,78.4m,None,AutoSK,0.07183908045977012,0.20833333333333334,"(95, 22277)"
2,rsctc2010_3,78.4m,AutoSK,AutoSK,0.07183908045977012,0.20833333333333334,"(95, 22277)"
0,dbworld-bodies,61.03m,AutoFeat,AutoSK,0.266304347826087,0.4375,"(64, 9)"
1,dbworld-bodies,61.03m,None,AutoSK,0.266304347826087,0.4375,"(64, 4702)"
2,dbworld-bodies,61.03m,AutoSK,AutoSK,0.266304347826087,0.4375,"(64, 4702)"
0,sonar,60.03m,AutoFeat,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 9)"
1,sonar,60.03m,None,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 60)"
2,sonar,60.03m,AutoSK,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 60)"
0,vehicle_sensIT,63.25m,AutoFeat,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 63)"
1,vehicle_sensIT,63.25m,None,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
2,vehicle_sensIT,63.25m,AutoSK,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
0,dbworld-bodies-stemmed,60.88m,AutoFeat,AutoSK,0.266304347826087,0.4375,"(64, 14)"
1,dbworld-bodies-stemmed,60.88m,None,AutoSK,0.266304347826087,0.4375,"(64, 3721)"
2,dbworld-bodies-stemmed,60.88m,AutoSK,AutoSK,0.266304347826087,0.4375,"(64, 3721)"
0,lymphoma_2classes,60.97m,AutoFeat,AutoSK,0.2450980392156863,0.4166666666666667,"(45, 5)"
1,lymphoma_2classes,60.97m,None,AutoSK,0.2450980392156863,0.4166666666666667,"(45, 4026)"
2,lymphoma_2classes,60.97m,AutoSK,AutoSK,0.2450980392156863,0.4166666666666667,"(45, 4026)"
0,micro-mass,61.02m,AutoFeat,AutoSK,0.01098901098901099,0.07692307692307693,"(571, 39)"
1,micro-mass,61.02m,None,AutoSK,0.01098901098901099,0.07692307692307693,"(571, 1300)"
2,micro-mass,61.02m,AutoSK,AutoSK,0.01098901098901099,0.07692307692307693,"(571, 1300)"
0,GCM,69.58m,AutoFeat,AutoSK,0.007352941176470587,0.0625,"(190, 33)"
1,GCM,69.58m,None,AutoSK,0.007352941176470587,0.0625,"(190, 16063)"
2,GCM,69.58m,AutoSK,AutoSK,0.007352941176470587,0.0625,"(190, 16063)"
0,rsctc2010_3,78.4m,AutoFeat,AutoSK,0.07183908045977012,0.20833333333333334,"(95, 9)"
1,rsctc2010_3,78.4m,None,AutoSK,0.07183908045977012,0.20833333333333334,"(95, 22277)"
2,rsctc2010_3,78.4m,AutoSK,AutoSK,0.07183908045977012,0.20833333333333334,"(95, 22277)"
0,dbworld-bodies,61.03m,AutoFeat,AutoSK,0.266304347826087,0.4375,"(64, 9)"
1,dbworld-bodies,61.03m,None,AutoSK,0.266304347826087,0.4375,"(64, 4702)"
2,dbworld-bodies,61.03m,AutoSK,AutoSK,0.266304347826087,0.4375,"(64, 4702)"
0,sonar,60.03m,AutoFeat,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 9)"
1,sonar,60.03m,None,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 60)"
2,sonar,60.03m,AutoSK,AutoSK,0.35491723466407016,0.5192307692307693,"(208, 60)"
0,vehicle_sensIT,63.25m,AutoFeat,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 63)"
1,vehicle_sensIT,63.25m,None,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
2,vehicle_sensIT,63.25m,AutoSK,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
0,dbworld-bodies-stemmed,60.88m,AutoFeat,AutoSK,0.266304347826087,0.4375,"(64, 14)"
1,dbworld-bodies-stemmed,60.88m,None,AutoSK,0.266304347826087,0.4375,"(64, 3721)"
2,dbworld-bodies-stemmed,60.88m,AutoSK,AutoSK,0.266304347826087,0.4375,"(64, 3721)"
0,lymphoma_2classes,60.97m,AutoFeat,AutoSK,0.2450980392156863,0.4166666666666667,"(45, 5)"
1,lymphoma_2classes,60.97m,None,AutoSK,0.2450980392156863,0.4166666666666667,"(45, 4026)"
2,lymphoma_2classes,60.97m,AutoSK,AutoSK,0.2450980392156863,0.4166666666666667,"(45, 4026)"
0,micro-mass,61.02m,AutoFeat,AutoSK,0.01098901098901099,0.07692307692307693,"(571, 39)"
1,micro-mass,61.02m,None,AutoSK,0.01098901098901099,0.07692307692307693,"(571, 1300)"
2,micro-mass,61.02m,AutoSK,AutoSK,0.01098901098901099,0.07692307692307693,"(571, 1300)"
0,GCM,69.58m,AutoFeat,AutoSK,0.007352941176470587,0.0625,"(190, 33)"
1,GCM,69.58m,None,AutoSK,0.007352941176470587,0.0625,"(190, 16063)"
2,GCM,69.58m,AutoSK,AutoSK,0.007352941176470587,0.0625,"(190, 16063)"
